,0,1
1344,45,ATP
1345,45,NAD
1346,46,C2E
1347,46,SAH
1348,46,2BA
1349,46,3AT
1350,46,ATP
1351,46,FAD
1352,46,SAL
1353,46,FMN
1354,46,MUF
1355,46,O40
1356,46,CHD
1357,46,965
1358,46,DEQ
1359,46,TDC
1360,46,OEF
1361,46,ITC
1362,46,SDN
1363,46,4HY
1364,46,GDP
1365,47,73B
1366,47,ET
1367,47,ANP
1368,47,REA
1369,47,GDP
1370,47,C2E
1371,47,P83
1372,47,GW5
1373,47,NAD
1374,47,FMN
1375,47,MEI
1376,47,OHT
1377,47,DDS
1378,47,TMP
1379,47,TTP
1380,47,EST
1381,47,GJW
1382,47,DGT
1383,47,ADP
1384,47,VDX
1385,47,VDA
1386,47,PTI
1387,47,FNT
1388,47,ATP
1389,47,AGS
1390,47,RAL
1391,48,FNT
1392,48,DDS
1393,48,G2P
1394,48,TMP
1395,48,ATP
1396,48,TTP
1397,48,MHF
1398,49,73B
1399,49,FAD
1400,49,C5D
1401,49,AGS
1402,49,GNI
1403,49,VDB
1404,49,GDP
1405,49,C2E
1406,49,MUF
1407,49,O40
1408,49,OEF
1409,49,DGT
1410,49,CEK
1411,49,APR
1412,49,VDX
1413,49,SAH
1414,49,VDA
1415,49,FNT
1416,49,DEQ
1417,49,ERY
1418,49,ATP
1419,49,4HY
1420,49,NAD
1421,49,2PQ
1422,5,N6R
1423,5,VDA
1424,5,SAL
1425,5,ITC
1426,5,AGS
1427,5,TDC
1428,5,DXT
1429,5,HPA
1430,5,ADP
1431,5,GNI
1432,5,GUN
1433,5,ALA
1434,5,NAD
1435,50,E3O
1436,50,3GN
1437,50,CMP
1438,50,ET
1439,50,ZTW
1440,50,3EV
1441,50,TY4
1442,50,C5D
1443,50,HC2
1444,50,DXT
1445,50,2PQ
1446,50,GNI
1447,50,VDB
1448,50,BRL
1449,50,2BA
1450,50,3AT
1451,50,GW5
1452,50,9RA
1453,50,MUF
1454,50,O40
1455,50,TCH
1456,50,CHD
1457,50,MEI
1458,50,OHT
1459,50,OEF
1460,50,TMP
1461,50,EST
1462,50,MHF
1463,50,YPA
1464,50,GJW
1465,50,G50
1466,50,QUE
1467,50,NAR
1468,50,DHT
1469,50,S44
1470,50,TAC
1471,50,ADP
1472,50,T2B
1473,50,CI2
1474,50,VDX
1475,50,VDA
1476,50,PTI
1477,50,GKK
1478,50,T3
1479,50,LGD
1480,50,SAL
1481,50,FNT
1482,50,DEQ
1483,50,ERY
1484,50,965
1485,50,CID
1486,50,4HY
1487,50,RAL
1488,51,E3O
1489,51,CMP
1490,51,RF2
1491,51,ZTW
1492,51,RF1
1493,51,DGT
1494,51,LGD
1495,51,DHT
1496,51,T3
1497,51,DXT
1498,51,CEK
1499,51,2PQ
1500,51,ERY
1501,51,TDC
1502,51,ADP
1503,51,T2B
1504,51,GNI
1505,51,3SF
1506,51,O8G
1507,52,YPA
1508,52,BRL
1509,52,SAH
1510,52,P83
1511,52,CTI
1512,52,HC2
1513,52,FMN
1514,52,CEK
1515,52,S44
1516,52,MEI
1517,52,TCH
1518,52,GNI
1519,52,CID
1520,52,CHD
1521,52,CI2
1522,52,REA
1523,52,2PQ
1524,53,GJW
1525,53,SAH
1526,53,3GN
1527,53,FAD
1528,53,RF2
1529,53,TY4
1530,53,RF1
1531,53,TX3
1532,53,NAP
1533,53,A92
1534,53,AAI
1535,53,HC2
1536,53,L3L
1537,53,MUF
1538,53,DEQ
1539,53,TX1
1540,53,3SF
1541,53,AGS
1542,53,O8G
1543,54,9RA
1544,54,HC2
1545,55,TX3
1546,55,HC2
1547,55,ANP
1548,55,NAD
1549,55,TCH
1550,55,TX1
1551,55,ADP
1552,55,AGS
1553,56,E3O
1554,56,HL6
1555,56,ZTW
1556,56,CTI
1557,56,RF1
1558,56,C5D
1559,56,HC2
1560,56,RAL
1561,56,GNI
1562,56,N6R
1563,56,3SF
1564,56,GDP
1565,56,DAY
1566,56,BRL
1567,56,GW5
1568,56,MUF
1569,56,O40
1570,56,OHT
1571,56,OEF
1572,56,NAP
1573,56,SDN
1574,56,EST
1575,56,O8G
1576,56,YPA
1577,56,QUE
1578,56,DHT
1579,56,NAR
1580,56,CEK
1581,56,S44
1582,56,TAC
1583,56,CI2
1584,56,RF2
1585,56,VDA
1586,56,LGD
1587,56,GKK
1588,56,PTI
1589,56,A92
1590,56,965
1591,56,DEQ
1592,56,ERY
1593,56,CID
1594,56,4HY
1595,56,2PQ
1596,57,SDN
1597,57,HC2
1598,58,YPA
1599,58,SAH
1600,58,G50
1601,58,VDX
1602,58,3EV
1603,58,QUE
1604,58,SFG
1605,58,C5D
1606,58,HC2
1607,58,NAR
1608,58,O40
1609,58,965
1610,58,DDS
1611,58,TAC
1612,58,VDB
1613,58,TTP
1614,59,C2E
1615,59,3GN
1616,59,L3L
1617,59,FNT
1618,59,ADP
1619,6,CMP
1620,6,FAD
1621,6,CTI
1622,6,3EV
1623,6,RF1
1624,6,TY4
1625,6,C5D
1626,6,HC2
1627,6,ANP
1628,6,GNI
1629,6,N6R
1630,6,VDB
1631,6,3SF
1632,6,G2P
1633,6,GUN
1634,6,DAY
1635,6,C2E
1636,6,BRL
1637,6,2BA
1638,6,3AT
1639,6,NAD
1640,6,DTP
1641,6,O40
1642,6,MUF
1643,6,TX1
1644,6,HPA
1645,6,OEF
1646,6,TMP
1647,6,NAP
1648,6,SDN
1649,6,DDS
1650,6,TTP
1651,6,ALA
1652,6,O8G
1653,6,YPA
1654,6,G50
1655,6,GJW
1656,6,DGT
1657,6,ADE
1658,6,CEK
1659,6,S44
1660,6,ADP
1661,6,TAC
1662,6,APR
1663,6,SAH
1664,6,VDX
1665,6,VDA
1666,6,TX3
1667,6,FNT
1668,6,ERY
1669,6,ATP
1670,6,4HY
1671,6,AGS
1672,6,2PQ
1673,60,GJW
1674,60,G50
1675,60,3GN
1676,60,2BA
1677,60,3AT
1678,60,AAI
1679,60,SFG
1680,60,A92
1681,60,SAL
1682,60,L3L
1683,60,DXT
1684,60,TDC
